station_id,station_name,total_rainfall,reading_count,overall_rain_score,latitude,longitude
S226,Malan Road,8.292050209205023,239,0.7842222968940726,1.27472,103.80389
S221,S221,8.259244364820848,921,0.7801406823950776,1.35691,103.89088
S40,Mandai Lake Road,8.235211294014084,1136,0.777150552675765,1.4044,103.78962
S228,Jurong West Street 73,8.230200041666667,240,0.7765270662018364,1.34703,103.70073
S121,Old Choa Chu Kang Road,8.227329192546584,1127,0.7761698829129159,1.37288,103.72244
S90,Bukit Timah Road,8.218717478336222,1154,0.7750984367044113,1.3191,103.8191
S209,S209,8.138311525054467,918,0.7650945452978349,1.42111,103.84472
S109,Ang Mo Kio Avenue 5,8.108438087971274,1114,0.7613777729902641,1.3764,103.8492
S203,Pasir Panjang,8.105798251121074,223,0.7610493316236412,1.29164,103.7702
S100,Woodlands Road,8.064329835051547,485,0.7558899433665479,1.4172,103.74855
S229,Jurong West Street 42,8.042183375,240,0.7531345406587483,1.35167,103.72195
S213,Coronation Walk,8.028451841004186,239,0.7514261003090832,1.32427,103.8097
S209,Yishun Ring Road,7.997516583333334,240,0.7475772191536142,1.42111,103.84472
S226,S226,7.969163897937025,921,0.7440496546610251,1.27472,103.80389
S104,Woodlands Avenue 9,7.8896491052631585,1140,0.7341566390488802,1.44387,103.78538
S88,Toa Payoh North,7.880732388840453,1147,0.7330472452893981,1.3427,103.8482
S900,Seletar Aerospace View,7.8518134887737485,1158,0.7294492338977393,1.41284,103.86922
S07,Lornie Road,7.842642687687689,666,0.728308227611118,1.3415,103.8334
S223,S223,7.811954148471616,916,0.7244900424990249,1.29984,103.80264
S205,S205,7.775779156441719,652,0.7199892477552235,1.38829,103.9116
S112,Lim Chu Kang Road,7.753535316804407,1089,0.7172217293425358,1.43854,103.70131
S207,Bedok Road,7.705837416666665,240,0.7112872855131388,1.32485,103.95836
S216,Ang Mo Kio Avenue 10,7.6525498333333335,240,0.7046573884069192,1.36019,103.85335
S223,Margaret Drive,7.535529166666668,240,0.6900979933139176,1.29984,103.80264
S115,Tuas South Avenue 3,7.5206713604240285,1132,0.6882494252151043,1.29377,103.61843
S33,Jurong Pier Road,7.488808007279346,1099,0.6842850729290015,1.3081,103.71
S230,West Coast Road,7.476666708333335,240,0.6827744853265505,1.30167,103.76444
S217,Bishan Street 13,7.3957084166666665,240,0.6727018734708428,1.35041,103.85526
S43,Kim Chuan Road,7.367213157894738,1159,0.66915657038417,1.3399,103.8878
S117,Banyan Road,7.353907337748345,755,0.667501096201139,1.256,103.679
S77,Alexandra Road,7.325669792566984,1157,0.663987857142922,1.2937,103.8125
S204,S204,7.310376100917431,654,0.6620850573597806,1.40081,103.88217
S118,Handy Road,7.301095821917808,730,0.6609304301270229,1.2994,103.8461
S84,Simei Avenue,7.263406131004366,1145,0.6562411806416735,1.3437,103.9444
