station_id,station_name,total_rainfall,reading_count,overall_rain_score,latitude,longitude
S112,Lim Chu Kang Road,5.752011061026353,1442,0.6260222155861332,1.43854,103.70131
S104,Woodlands Avenue 9,5.743024097881666,1369,0.6250441161841088,1.44387,103.78538
S116,West Coast Highway,5.576682845246356,1441,0.606940305462377,1.281,103.754
S105,Admiralty Road West,5.568865488126649,379,0.6060895005574166,1.45817,103.79525
S94,Pasir Ris Street 51,5.564544845995893,1461,0.6056192618998838,1.3662,103.9528
S96,Tanah Merah Coast Road,5.520289855072464,138,0.6008027538690934,1.3175,104.0307
S113,Marine Parade Road,5.449586783746557,1452,0.5931077593896684,1.30655,103.91074
S215,GEYLANG EAST CENTRAL,5.345739286452948,967,0.5818054792568448,1.32785,103.88899
S106,Pulau Ubin,5.0643874643874645,1404,0.5511844513867764,1.4168,103.9673
S60,Sentosa,5.058333324829932,1176,0.5505255469064019,1.25,103.8279
S108,Marina Gardens Drive,5.054491010479042,1336,0.5501073672267381,1.2799,103.8703
S24,Upper Changi Road North,4.818480527036276,1461,0.5244210804343703,1.3678,103.9826
S107,East Coast Parkway,4.5933564429065745,1445,0.4999196188701556,1.3135,103.9625
S29,Pasir Ris Drive 12,4.496044427480917,1441,0.48932863028310447,1.387,103.935
S102,Semakau Landfill,4.26190474489796,588,0.46384595278264384,1.189,103.768
S84,Simei Avenue,4.245161304985337,1364,0.4620236744108837,1.3437,103.9444
S36,Upper Serangoon Road,3.598042414355628,1226,0.3915942546198575,1.3382,103.8657
S72,Prince Edward Road,0.0,12,0.0,1.274,103.8482
S24B,Upper Changi Road North,0.0,145,0.0,1.3678,103.998
S103,Dairy Farm Road,0.0,12,0.0,1.364,103.777
S97,Pioneer Sector 2,0.0,1,0.0,1.29389,103.66407
